id,amt,pushed,bank_entry_id,cheque_entry_id,bill_id
609,3052,t,100767,,CA01273
602,1169,t,,76,CA01513
603,1288,t,,76,CA01514
610,6782,t,100776,,CA01563
604,9147,t,,76,CA01579
608,924,t,100759,,CA01645
605,2259,t,,76,CA01653
606,3423,t,,76,CA01672
611,57677,f,,78,CA01488
627,552,t,100673,,CA01190
631,2233,t,100697,,CA01460
628,1389,t,100691,,CA01587
629,32759,t,100692,,CA01604
624,47752,t,100670,,CA01635
620,25718,t,100670,,CA01668
615,30772,t,100670,,CA01669
618,31628,t,100670,,CA01679
623,43985,t,100670,,CA01690
625,33833,t,100670,,CA01691
622,20869,t,100670,,CA01692
621,11991,t,100670,,CA01694
612,36838,t,100670,,CA01733
616,27782,t,100670,,CA01734
617,40270,t,100670,,CA01735
613,93744,t,100670,,CA01736
619,34418,t,100670,,CA01737
626,40737,t,100670,,CA01738
614,22942,t,100670,,CA01739
632,37486,t,100703,,CA01756
630,1538,t,100696,,CA01766
607,123818,t,,77,CA01671
633,9322,t,100796,,CA01522
634,625,f,,79,CA01619
635,1399,f,,79,CA01732
636,834,t,100825,,CA01602
640,10019,t,100779,,CA01519
637,625,t,100748,,CA01619
642,1090,t,100780,,CA01659
643,7066,t,100781,,CA01665
641,5976,t,100779,,CA01683
639,7536,t,100749,,CA01718
638,1399,t,100748,,CA01732
644,1310,f,,80,CA01724
645,10319,t,,81,CA01594
646,1310,t,100791,,CA01724
647,2628,t,100788,,CA01793
648,393,t,100701,,CA01667
649,51530,t,,82,CA01713
650,2000,t,,82,CA01714
651,38888,t,100847,,CA01761
652,57677,t,100787,,CA01488
653,3628,t,100795,,CA01720
658,2093,t,100895,,CA01475
654,1817,t,,83,CA01695
659,2129,t,100813,,CA01698
662,14859,t,100831,,CA01715
656,3833,t,,84,CA01717
655,253,t,,83,CA01758
657,130299,t,,85,CA01783
660,43109,t,100815,,CA01824
661,1553,t,100816,,CA01825
663,34388,t,100807,,CA01823
666,9816,t,100808,,CA01487
664,1813,t,100786,,CA01706
665,8218,t,100806,,CA01759
667,3358,t,100809,,CA01760
668,6351,t,100804,,CA01658
670,1284,f,,86,CA01878
671,12217,t,,87,CA01685
674,38464,t,100868,,CA01703
672,2871,t,,88,CA01731
669,1686,t,,86,CA01809
673,73604,t,,89,CA01890
675,38606,t,100854,,CA01374
676,19314,t,100854,,CA01375
677,31880,t,100854,,CA01433
678,32372,t,100854,,CA01434
679,36407,t,100676,,CA01799
682,23129,t,100966,,CA01620
683,84079,t,100966,,CA01621
684,2000,t,100966,,CA01622
698,15567,t,100966,,CA01623
685,69121,t,100966,,CA01624
686,5751,t,100966,,CA01673
687,11409,t,100966,,CA01674
688,16716,t,100966,,CA01675
689,26880,t,100966,,CA01676
690,33691,t,100966,,CA01677
691,9151,t,100966,,CA01678
699,16067,t,100967,,CA01711
700,490,t,100967,,CA01712
692,26453,t,100966,,CA01741
693,23791,t,100966,,CA01742
694,59334,t,100966,,CA01743
695,8430,t,100966,,CA01744
696,24274,t,100966,,CA01745
697,3105,t,100966,,CA01746
681,2061,t,100965,,CA01785
680,17609,t,100964,,CA01884
702,1184,t,100974,,CA01549
701,9037,t,100968,,CA01784
703,8165,t,100976,,CA01835
707,16486,t,101038,,CA01648
708,911,t,101043,,CA01921
704,1200,t,,90,CA01702
705,199,t,,90,CA01755
706,3016,t,,90,CA01781
719,101928,t,100900,,CA01572
710,22209,t,100899,,CA01912
717,60169,t,100899,,CA01913
712,68522,t,100899,,CA01914
715,45016,t,100899,,CA01915
716,51630,t,100899,,CA01916
713,33914,t,100899,,CA01917
711,23265,t,100899,,CA01918
718,63733,t,100899,,CA01963
714,23962,t,100899,,CA01964
709,96219,t,,91,CA01965
720,630,f,,92,CA01924
721,8189,f,,93,CA01844
722,3322,f,,94,CA01954
723,1477,f,,94,CA01895
728,100000,t,100929,,CA01704
726,16379,t,100927,,CA01881
727,33448,t,100927,,CA01926
725,960,t,100927,,CA01927
724,1655,t,100923,,CA01970
729,1000,t,100930,,CA01977
730,1132,t,100926,,CA01798
731,11554,f,,95,CA01830
732,1849,f,,96,CA01875
733,950,f,,96,CA01876
734,5047,f,,96,CA01934
735,557,f,,96,CA01995
